Number Of Executions, Total Milliseconds,  Milliseconds per execution, Type
     1,     27,    27,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, POILogFactory_java.html)"
     1,     56,    56,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.224.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(b13ecf27-3167-44df-85e8-cf04733660ea)"
     1,     81,    81,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CaptchaQuestionHelper_en_properties.html)"
     1,      0,     0,00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.JPAEntityModel).as(default)
     1,     39,    39,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, completarDiagnosticoTecnico_properties.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(a05c63cf-5f4f-4472-9ea6-357e10e69a65)"
     1,     77,    77,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, cruceRunt_properties.html)"
     1,     44,    44,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.353.html)"
     1,    101,   101,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, asignarInventarioDealer_properties.html)"
     1,     40,    40,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, respuestaDescuentoMostrador_properties.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(b38b4e17-dfac-423f-96bb-2389abe8eb12)"
     1,     86,    86,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, alertaVencimientoSolicitud_properties.html)"
     1,     91,    91,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.411.html)"
     1,     91,    91,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.298.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(55b51f62-48fc-4bb6-bb4d-88ed5e29fb17)"
     1,     33,    33,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, SendSimpleMessageService_java.html)"
     1,    126,   126,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, reporteSICBoletinCampana_properties.html)"
     1,     61,    61,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, historicoVehiculosMsj_properties.html)"
     1,    697,   697,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, planAccion_properties.html)"
     1,    113,   113,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.356.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@57b7a22.as(iqi.3d159824-f199-4ab5-80e4-56215ebae4ed)
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@19704e65.as(iqi.9ac9bf44-d1b3-4c9e-9a8c-a378d4630640)
     1,    210,   210,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ConnectionPool_java.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@6e14aa7c.as(iqi.348ac706-f4db-414c-a240-be21a72305b7)
     1,     68,    68,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.292.html)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Hamcrest (embedded)).as(default)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(b0b44985-93cd-446d-ac71-37e2a9526716)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(5df2f8fe-e21b-4006-993d-d3228ce0a953)"
     1,     23,    23,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.134.html)"
     1,      0,     0,00, Query.fromType(org.jboss.windup.graph.model.resource.ReportResourceFileModel).as(default)
     2,      1,     0,50, Query.fromType(org.jboss.windup.rules.apps.javaee.model.WebXmlModel).as(default)
     1,     42,    42,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.350.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@250af8b6.as(iqi.004f500a-d2b8-4843-b871-afc97d738c2b)
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(0a4ba0b1-5f34-4e88-9307-22d6f60bafd0)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,OTR4J (embedded)).as(default)"
   504,   7339,    14,56, "TypeReferenceService.getPackageUseFrequencies(data,projectModel,nameDepth,recursive)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,BabbageFaces (embedded)).as(default)"
     1,     22,    22,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.165.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JBPM (embedded)).as(default)"
     1,     20,    20,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.131.html)"
     1,    183,   183,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.135.html)"
     1,   4867,  4867,00, "FreeMarkerIterationOperation.render(/reports/templates/report_index.ftl, report_index_SIGRU_ear.html)"
     1,     42,    42,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, coloreses_ES_properties.html)"
     1,     58,    58,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, cambiosFechaFacturasPosventa_properties.html)"
     1,    131,   131,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, diagnosticoFrenos_properties.html)"
     1,     53,    53,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, informeGaraAprob_properties.html)"
     1,     61,    61,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, respuestaObsequios_properties.57.html)"
     1,     41,    41,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.176.html)"
     1,     16,    16,00, "Query.fromType(org.jboss.windup.rules.apps.java.model.JarArchiveModel).gremlin().has(fileName,REGEX,.*hibernate.*\.jar$).as(default)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(abdc0e21-0e4f-4663-b0f2-32cc15511804)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(4ed2af07-e8cb-4c9d-a60b-978657858f13)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Derby Driver).as(default)"
     1,     59,    59,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, netsrv_en_US_properties.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@4027c22b.as(iqi.2bae25b6-17bc-40df-8f5e-d236852302f6)
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Ignite (embedded)).as(default)"
     1,    293,   293,00, sortDependencyGroupArchivesByPathAscending
     1,    103,   103,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, correoEnvioCancelacion_properties.html)"
     1,     27,    27,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.257.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(127b0231-7ea3-4a48-8cd9-d84b51ff7b92)"
     1,     47,    47,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.132.html)"
 29406,  58866,     2,00, "TypeReferenceService.createTypeReference(fileModel,location,lineNumber,columnNumber,length,source)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@136e6081.as(iqi.248cc802-041f-4683-9370-66c259b4310a)
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(167931c6-9e32-4868-85a4-32b94b3756a1)"
     1,    151,   151,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.345.html)"
     1,     88,    88,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.268.html)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Zbus Client (embedded)).as(default)"
     2,    367,   183,50, sortTechUsageStats
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@5f54a711.as(iqi.ac9044cb-d90e-42dc-8cf7-c6e0891092b9)
     1,     53,    53,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, descuentoTaller_properties.46.html)"
     1,     44,    44,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, cambioCodigoPlano_properties.html)"
     1,     70,    70,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.394.html)"
     1,     28,    28,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.158.html)"
     1,    100,   100,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, mls_en_US_properties.html)"
     1,     27,    27,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, manejoBodegaUbicacion_properties.html)"
     1,   1763,  1763,00, "FreeMarkerIterationOperation.render(/reports/templates/migration-issues.ftl, migration_issues.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(257ecb8c-399c-414e-9240-afe496b4865a)"
     1,      0,     0,00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.JaxRSWebServiceModel).as(default)
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(130aa5f7-9fba-483d-890b-8e46f262dcca)"
     1,     29,    29,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.289.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(9e60b36e-ff4e-4df6-87e5-39ecb1525ffe)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(137a548a-1d07-4db2-8ef8-63aafc78fbad)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Monolog (embedded)).as(default)"
     1,      4,     4,00, Query.fromType(org.jboss.windup.graph.model.DuplicateArchiveModel).as(default)
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@3bda7ce1.as(iqi.aeaa2f01-8f46-4288-bc93-93b4446d51bf)
     1,     42,    42,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, solicitudCargueFondo_properties.html)"
     1,     55,    55,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.171.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Keyczar (embedded)).as(default)"
     1,     44,    44,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.147.html)"
     1,    103,   103,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, consultarReporteTecnico_properties.html)"
     1,    105,   105,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, dealerExternoMsg_properties.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Tornado Inject (embedded)).as(default)"
     1,     26,    26,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, solicitudesCambio_properties.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(c7655fd7-4832-44dc-8c9c-ac096aa16699)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Cactus (embedded)).as(default)"
 20000,  85684,     4,28, ClassFilePreDecompilationScan.perform()
     1,    102,   102,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, consultarOrdenes_properties.html)"
     1,     55,    55,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, parametroscodcs_properties.html)"
     1,     41,    41,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, rolesCargos_properties.36.html)"
     1,    107,   107,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, envioCorreoRIAF_properties.html)"
     1,     56,    56,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, emailAsesoresSoat_properties.html)"
     1,    186,   186,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.109.html)"
     1,    173,   173,00, "FreeMarkerIterationOperation.render(/reports/templates/ignored_files.ftl, ignoredfiles_SIGRU_ear.html)"
     1,     92,    92,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, recepcionFacturas_properties.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,SwitchYard (embedded)).as(default)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(62f7c5ef-2aac-4f35-9224-a5ee6bbd8156)"
     1,     43,    43,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.329.html)"
161260,  23921,     0,15, GraphService.findAllByProperty(filePath)
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Neo4j (embedded)).as(default)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(f8bf9222-7bc9-4ac9-954d-a361d31ad9b8)"
     1,     57,    57,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.391.html)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring Security (embedded)).as(default)"
     1,    101,   101,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.281.html)"
     1,     57,    57,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, generarPrefoiMsg_properties.html)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Logstash (embedded)).as(default)"
     1,     36,    36,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.95.html)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Elasticsearch (embedded)).as(default)"
     1,     57,    57,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, messages_properties.html)"
     1,     74,    74,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.352.html)"
     1,     63,    63,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, sql_en_US_properties.html)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Oracle DB Driver).as(default)"
     1,     30,    30,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, impuestosLiquidados_properties.47.html)"
     1,    103,   103,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, cotizacionRMP_properties.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Narayana Arjuna (embedded)).as(default)"
     1,     64,    64,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.235.html)"
     1,     71,    71,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.260.html)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,REST Assured (embedded)).as(default)"
     1,     56,    56,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, mp_properties.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@2dbea4be.as(iqi.cef799bf-50e2-4700-b86a-6fc50458d051)
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@647e7fea.as(iqi.bd1a55fe-3d49-419d-b076-5d3a4eac70da)
     1,     76,    76,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.90.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Geronimo (embedded)).as(default)"
     1,     37,    37,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, programacionTraslado_properties.html)"
     1,    384,   384,00, Query.as(6ec4f57d-0ff0-4ed2-b892-ccdad458c5e0)
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(339ce882-d079-4a71-98f4-0315c82b9066)"
     1,     42,    42,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, grabacionMensaje_properties.html)"
     1,     63,    63,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.396.html)"
     1,     48,    48,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.256.html)"
     1,     81,    81,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.286.html)"
     1,     58,    58,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, adminTarifaDesembalaje_properties.html)"
     1,     51,    51,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, conceptoRetiroAf_properties.html)"
     1,      0,     0,00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.JmsDestinationModel).as(default)
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,KLogger (embedded)).as(default)"
     2,      2,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spark (embedded)).as(default)"
     1,     73,    73,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, log_config_properties.html)"
     1,     58,    58,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, correoEnvioCancelacion_properties.13.html)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,HornetQ Client (embedded)).as(default)"
     1,     64,    64,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, web_xml.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@4196e88d.as(iqi.3bf458ca-5941-4493-9c88-df68518a2331)
   168,   1167,     6,95, "TypeReferenceService.getPackageUseFrequencies(projectModel,nameDepth,recursive)"
     1,     42,    42,00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(fileName,EQUALS,ibm-ejb-jar-ext.xmi).has(rootTagName,EQUALS,EJBJarExtension).as(default)"
     1,    207,   207,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ConnectionPoolRpt_java.html)"
     1,     59,    59,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, csm_en_US_properties.html)"
     1,     49,    49,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, paramAf_properties.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Kodein (embedded)).as(default)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache CXF (embedded)).as(default)"
     1,     80,    80,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.263.html)"
     1,    105,   105,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, msjscomun_properties.html)"
     1,      9,     9,00, "Query.fromType(org.jboss.windup.rules.apps.java.model.JarArchiveModel).gremlin().has(fileName,REGEX,.*jsf-[(api)|(impl)].*\.jar$).as(default)"
     1,    101,   101,00, Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).as(default)
     1,     41,    41,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ImpSoatWS_properties.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@c292d8d.as(iqi.6e22ed06-62c0-406e-bd05-025860210cc3)
     1,     55,    55,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, rds_en_US_properties.html)"
     1,     39,    39,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.153.html)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,EasyMock (embedded)).as(default)"
     1,     46,    46,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.366.html)"
     1,     57,    57,00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(fileName,EQUALS,pom.xml).as(default)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,RandomizedTesting Runner (embedded)).as(default)"
     1,     65,    65,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.382.html)"
     1,     47,    47,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, ConceptosAnulacionOT_properties.html)"
     1,    150,   150,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, calculoCostoMsj_properties.html)"
     1,     38,    38,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.325.html)"
     1,     62,    62,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.277.html)"
     1,     56,    56,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.425.html)"
     1,     38,    38,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, css_en_US_properties.html)"
     1,     32,    32,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.293.html)"
     1,     39,    39,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, grabacionNotaDebito_properties.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,BootsFaces (embedded)).as(default)"
     1,     56,    56,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, respuestaMayorDescuento_properties.html)"
     1,    147,   147,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.195.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@15a75450.as(iqi.f9d4aa7d-d955-4451-9f99-8cc641d57675)
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,MapR (embedded)).as(default)"
1686648,   1438,     0,00, TypeInterestFactory.matchesAny(text)
     1,     38,    38,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.156.html)"
     1,     53,    53,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, reporteNotasCredito_properties.html)"
     1,     76,    76,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, retiroInventarioActivo_properties.html)"
     1,     58,    58,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CrearBoletaSalidaAutorizada_properties.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(85376805-c12c-4b4d-9b24-086d1b013458)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,WF Core JTA (embedded)).as(default)"
     1,    108,   108,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, asignacionZonaFranca_properties.html)"
     1,     25,    25,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, reportesFOIGarantiasMazda_properties.html)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,MySQL Driver).as(default)"
     1,     68,    68,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, mayorDescuento_properties.81.html)"
     1,     81,    81,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, toddlist_properties.html)"
     1,     23,    23,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.375.html)"
     1,      1,     1,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[INHERITANCE]).as(97d1d8f5-5f52-419b-af25-6245388e8b23)"
     1,    105,   105,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.16.html)"
     1,     44,    44,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.167.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Scaldi (embedded)).as(default)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Winter (embedded)).as(default)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@21e4eb3f.as(iqi.d04d10dd-b559-4e19-bcf1-c492fad9c83a)
     1,     58,    58,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, facturaOtrosIngresosMazda_properties.html)"
     1,     25,    25,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.348.html)"
     1,     33,    33,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, tarifasTransportadorasMsg_properties.html)"
     1,    135,   135,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.273.html)"
     1,     62,    62,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.230.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(da4916fa-acef-4ce3-9d9c-81384b9576bd)"
     1,     55,    55,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.128.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Sticky Configured (embedded)).as(default)"
     1,     71,    71,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, autorizacionFactura_properties.54.html)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,OpenSAML (embedded)).as(default)"
     1,     31,    31,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, mls2_en_US_properties.html)"
     1,    100,   100,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, desbloquearOT_properties.html)"
     1,     62,    62,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, trasladoAfTemp_properties.html)"
     1,     24,    24,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, IfxPooledConnection_java.html)"
     1,     40,    40,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.2.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@7f17cb3b.as(iqi.8e2c1cb2-5a28-4e73-95ec-228507484565)
